1$திருக்குறள்$திருவள்ளுவர்
2$ஆத்திசூடி$ஒளவையார்
3$கொன்றை வேந்தன்$ஒளவையார்
4$நல்வழி$ஒளவையார்
5$மூதுரை$ஒளவையார்
6$திருவாசகம் - 1 (1-10)$மாணிக்க வாசகர்
7$திருவாசகம் - 2 (11-51)$மாணிக்க வாசகர்
8$திருமந்திரம் (தந்திரங்கள் - 1, 2)$திருமூலர்
9$நாலாயிர திவ்ய பிரபந்தம் / திருப்பல்லாண்டு$பெரியாழ்வார்
10$நாலாயிர திவ்ய பிரபந்தம் / திருமொழி$பெரியாழ்வார்
11$நாலாயிர திவ்ய பிரபந்தம் / திருப்பாவை$ஆண்டாள்
12$நாலாயிர திவ்ய பிரபந்தம் / நாச்சியார் திருமொழி$ஆண்டாள்
13$நாலாயிர திவ்ய பிரபந்தம் / பெருமாள் திருமொழி$குலசேகரப் பெருமாள்
14$நாலாயிர திவ்ய பிரபந்தம் / திருச்சந்த விருத்தம்$திருமழிசைபிரான்
15$நாலாயிர திவ்ய பிரபந்தம் / திருப்பள்ளியெழுச்சி$தொண்டரடிப்பொடி ஆழ்வார்
16$நாலாயிர திவ்ய பிரபந்தம் / அமலநாதிபிரான்$திருப்பாணாழ்வார்
17$நாலாயிர திவ்ய பிரபந்தம் / கண்ணி நூற்றைம்பது$மதுர கவிராயர்
18$நாலாயிர திவ்ய பிரபந்தம் / திருமாலை$தொண்டரடிப்பொடி ஆழ்வார்
19$நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமொழி$திருமங்கை ஆழ்வார்
20$நாலாயிர திவ்ய பிரபந்தம் / சிறிய திருமுறை$திருமங்கை ஆழ்வார்
21$நாலாயிர திவ்ய பிரபந்தம் / திருக்குறுந்தாண்டகம்$திருமங்கை ஆழ்வார்
22$நாலாயிர திவ்ய பிரபந்தம் / திருநெடுந்தாண்டகம்$திருமங்கை ஆழ்வார்
23$நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /1$பொய்கையாழ்வார்
24$நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /2$பூதத்தாழ்வார்
25$நாலாயிர திவ்ய பிரபந்தம் / திருவந்தாதி /3$பேயாழ்வார்
26$நாலாயிர திவ்ய பிரபந்தம் / திருவாசிரியம்$நம்மாழ்வார்
27$நாலாயிர திவ்ய பிரபந்தம் / திருவிருத்தம்$நம்மாழ்வார்
28$நாலாயிர திவ்ய பிரபந்தம் / திருவெழுகூற்றிருக்கை$திருமங்கை ஆழ்வார்
29$நாலாயிர திவ்ய பிரபந்தம் / நான்முகன் திருவந்தாதி$திருமழிசை ஆழ்வார்
30$நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருமடல்$திருமங்கை ஆழ்வார்
31$நாலாயிர திவ்ய பிரபந்தம் / பெரிய திருவந்தாதி$நம்மாழ்வார்
32$இராமானுஜ நூற்றந்தாதி$திருவரங்கத்து அமுதனார்
33$திருவாய்மொழி$நம்மாழ்வார்
34$நாலாயிர திவ்ய பிரபந்தம் /4$பல ஆசிரியர்கள்
35$திருமந்திரம் - 2 (3-6 தந்திரங்கள்)$திருமூலர்
36$திருமுறை 10 /திருமந்திரம்$திருமூலர்
37$திருமந்திரம் - 3 (7-9 தந்திரங்கள்)$திருமூலர்
38$திருமுறை 10 /திருமந்திரம்$திருமூலர்
39$தண்ணீர் தேசம்$வைரமுத்து
40$தேசிய கீதங்கள்$சி. சுப்ரமணிய பாரதியார்
41$தெய்வப் பாடல்கள்$சி. சுப்ரமணிய பாரதியார்
42$தேசிக பிரபந்தம்$வேதாந்த தேசிகர்
43$பகவத் கீதை /தமிழாக்கம், விளக்கவுரை$சி. சுப்ரமணிய பாரதியார்
44$நளவெண்பா$புகழேந்திப் புலவர்
45$நாலடியார்$பல ஆசிரியர்கள்
46$திருக்குறள் /ஆங்கில மொழியாக்கம் (tirukkural - English translation)$சுத்தானந்த பாரதியார்
47$திருவருட்பா /திருமுறை 1 (பாடல்கள் 1-570)$இராமலிங்க அடிகள்
48$திருவருட்பா /திருமுறை 2.1 (பாடல்கள்571-1006 )$இராமலிங்க அடிகள்
49$விவிலியம் /புதிய ஏற்பாடு /மத்தேயு$விவிலியம்
50$விவிலியம் /புதிய ஏற்பாடு /மார்க்கு$விவிலியம்
51$நடராசப் பத்து$முனிசாமி முதலியார், சிருமாவூர்
52$சுய சரிதை$சி. சுப்ரமணிய பாரதியார்
53$ஞானப் பாடல்கள்$சி. சுப்ரமணிய பாரதியார்
54$பல்வகைப் பாடல்கள்$சி. சுப்ரமணிய பாரதியார்
55$உலகநீதி$உலகநாதர்
56$கந்தர் அலங்காரம்$அருணகிரிநாதர்
57$கந்தர் அநுபூதி$அருணகிரிநாதர்
58$வேல் விருத்தம், மயில் விருத்தம், சேவல் விருத்தம்$அருணகிரிநாதர்
59$ஆசாரக் கோவை$பெருவாயின் முள்ளியார்
60$இன்னா நாற்பது$கபிலர்
61$இனியவை நாற்பது$பூதஞ்சேந்தனார்
62$களவழி நாற்பது$பொய்கையார்
63$முதுமொழிக் காஞ்சி$மதுரை கூடலூர் கிழார்
64$அபிராமி அந்தாதி$அபிராமி பட்டர்
65$அபிராமி அம்மைப் பதிகம்$அபிராமி பட்டர்
66$அபிராமி அந்தாதி /விளக்கஉரை$கண்ணதாசன்
67$இன்னிலை$பொய்கையார்
68$ஐந்திணை ஐம்பது$மாறன் பொறையனார்
69$ஐந்திணை எழுபது$மூவாதியார்
70$திணைமொழி ஐம்பது$கண்ணன் சேந்தனார்
71$ஐங்குறு நூறு$பல ஆசிரியர்கள் (5)
72$ஏலாதி, சிறு பஞ்ச மூலம்$கணிமேதாவியார்
73$கார் நாற்பது$மதுரை கண்ணன் கூத்தனார்
74$சிறு பஞ்ச மூலம்$காரியாசான்
75$விவிலியம் /புதிய ஏற்பாடு /2$விவிலியம்
76$விவிலியம் /புதிய ஏற்பாடு /யோவான்$விவிலியம்
77$விவிலியம் /புதிய ஏற்பாடு /லூக்கு$விவிலியம்
78$திருவருட்பா /அகவல்$இராமலிங்க அடிகள்
79$வடிவுடை மாணிக்க மாலை$இராமலிங்க அடிகள்
80$கலேவலா - தமிழாக்கம் - 1$உதயணன்
81$கலேவலா - தமிழாக்கம் - 2$உதயணன்
82$சண்முக கவசம்$பாம்பன் குமரகுருதாச சுவாமிகள்
83$கந்த சஷ்டி கவசம் (6 கந்தர் கவசங்கள்)$தேவராய சுவாமிகள்
84$கந்த குரு கவசம்$சாந்தானந்த சுவாமிகள்
85$சூளாமணி$தேலாமொழித்தேவர்
86$பழமொழி நானூறு$முன்றுறையரையனார்
87$அழகின் சிரிப்பு$பாரதிதாசன்
88$பதிற்றுப்பத்து$பல ஆசிரியர்கள்
89$விவிலியம் /புதிய ஏற்பாடு /ஏக்ட்ஸ்$விவிலியம்
90$தமிழ் விடுதூது$மதுரை சொக்கநாதர்
91$விவிலியம் /புதிய ஏற்பாடு /கொரிந்தியர்கள்$விவிலியம்
92$விவிலியம் /புதிய ஏற்பாடு /எஸியன்ஸ்$விவிலியம்
